source,early,late,category,further category,link
The Passion Narrative,30,60,Other,Hypothesized Source,https://www.earlychristianwritings.com/passion.html
Lost Sayings Gospel Q,40,80,Other,Hypothesized Source,https://www.earlychristianwritings.com/q.html
1 Thessalonians,50,60,New Testament,Epistles of Paul,https://www.earlychristianwritings.com/1thessalonians.html
Philippians,50,60,New Testament,Epistles of Paul,https://www.earlychristianwritings.com/philippians.html
Galatians,50,60,New Testament,Epistles of Paul,https://www.earlychristianwritings.com/galatians.html
1 Corinthians,50,60,New Testament,Epistles of Paul,https://www.earlychristianwritings.com/1corinthians.html
2 Corinthians,50,60,New Testament,Epistles of Paul,https://www.earlychristianwritings.com/2corinthians.html
Romans,50,60,New Testament,Epistles of Paul,https://www.earlychristianwritings.com/romans.html
Philemon,50,60,New Testament,Epistles of Paul,https://www.earlychristianwritings.com/philemon.html
Colossians,50,80,New Testament,Contested Epistles of Paul,https://www.earlychristianwritings.com/colossians.html
Signs Gospel,50,90,Other,Hypothesized Source,https://www.earlychristianwritings.com/signs.html
Epistle to the Hebrews,50,95,New Testament,General Epistles,https://www.earlychristianwritings.com/hebrews.html
Didache,50,120,Apocrypha,Apostolic Fathers,https://www.earlychristianwritings.com/didache.html
Gospel of Thomas,50,140,Apocrypha,Gospels,https://www.earlychristianwritings.com/thomas.html
Oxyrhynchus 1224 Gospel,50,140,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/oxyrhynchus1224.html
Apocalypses of Adam,50,150,Gnostics,Apocalypses,https://www.earlychristianwritings.com/apocalypseadam.html
Eugnostos the Blessed,50,150,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/eugnostos.html
Sophia of Jesus Christ,50,200,Gnostics,Dialogues with Jesus,https://www.earlychristianwritings.com/sophia.html
Gospel of Mark,65,80,New Testament,Gospels,https://www.earlychristianwritings.com/mark.html
Epistle of James,70,100,New Testament,General Epistles,https://www.earlychristianwritings.com/james.html
Egerton Gospel,70,120,Apocrypha,Gospels,https://www.earlychristianwritings.com/egerton.html
Gospel of Peter,70,160,Apocrypha,Gospels,https://www.earlychristianwritings.com/gospelpeter.html
Secret Mark,70,160,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/secretmark.html
Fayyum Fragment,70,200,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/fayyum.html
Testaments of the Twelve Patriarchs,70,200,Other,Jewish/Christian,https://www.earlychristianwritings.com/patriarchs.html
Mara Bar Serapion,73,200,Other,Pagan and Jewish,https://www.earlychristianwritings.com/mara.html
2 Thessalonians,80,100,New Testament,Contested Epistles of Paul,https://www.earlychristianwritings.com/2thessalonians.html
Ephesians,80,100,New Testament,Contested Epistles of Paul,https://www.earlychristianwritings.com/ephesians.html
Gospel of Matthew,80,100,New Testament,Gospels,https://www.earlychristianwritings.com/matthew.html
1 Peter,80,110,New Testament,General Epistles,https://www.earlychristianwritings.com/1peter.html
Epistle of Barnabas,80,120,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/barnabas.html
Gospel of Luke,80,130,New Testament,Gospels,https://www.earlychristianwritings.com/luke.html
Acts of the Apostles,80,130,New Testament,Apostolic Acts,https://www.earlychristianwritings.com/acts.html
1 Clement,80,140,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/1clement.html
Gospel of the Egyptians,80,150,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/gospelegyptians.html
Gospel of the Hebrews,80,150,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/gospelhebrews.html
Christian Sibyllines,80,250,Other,Jewish/Christian,https://www.earlychristianwritings.com/sibylline.html
Revelation,90,95,New Testament,Apocalypses,https://www.earlychristianwritings.com/revelation.html
Gospel of John,90,120,New Testament,Gospels,https://www.earlychristianwritings.com/john.html
1 John,90,120,New Testament,General Epistles,https://www.earlychristianwritings.com/1john.html
2 John,90,120,New Testament,General Epistles,https://www.earlychristianwritings.com/2john.html
3 John,90,120,New Testament,General Epistles,https://www.earlychristianwritings.com/3john.html
Epistle of Jude,90,120,New Testament,General Epistles,https://www.earlychristianwritings.com/jude.html
Flavius Josephus,93,93,Other,Pagan and Jewish,https://www.earlychristianwritings.com/josephus.html
1 Timothy,100,150,New Testament,Pseudonymous Epistles of Paul,https://www.earlychristianwritings.com/1timothy.html
2 Timothy,100,150,New Testament,Pseudonymous Epistles of Paul,https://www.earlychristianwritings.com/2timothy.html
Titus,100,150,New Testament,Pseudonymous Epistles of Paul,https://www.earlychristianwritings.com/titus.html
Apocalypses of Peter,100,150,Apocrypha,Apocalypses,https://www.earlychristianwritings.com/apocalypsepeter.html
Secret Book of James,100,150,Gnostics,Dialogues with Jesus,https://www.earlychristianwritings.com/secretjames.html
Preaching of Peter,100,150,Apocrypha,Apostolic Acts,https://www.earlychristianwritings.com/preachingpeter.html
Gospel of the Ebionites,100,160,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/gospelebionites.html
Gospel of the Nazoreans,100,160,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/gosplenazoreans.html
Shepherd of Hermas,100,160,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/shepherd.html
2 Peter,100,160,New Testament,General Epistles,https://www.earlychristianwritings.com/2peter.html
Odes of Solomon,100,200,Other,Jewish/Christian,https://www.earlychristianwritings.com/odes.html
Gospel of Eve,100,200,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/gospeleve.html
"Thunder, Perfect Mind",100,230,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/thunder.html
Book of Elchasai,101,220,Other,Jewish/Christian,https://www.earlychristianwritings.com/elchasai.html
Ignatius of Antioch,105,115,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/ignatius.html
Polycarp to the Philippians,110,140,Church Fathers,Apostolic Fathers,https://www.earlychristianwritings.com/polycarp.html
Papias,110,140,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/papias.html
Oxyrhynchus 840 Gospel,110,160,Apocrypha,Gospels,https://www.earlychristianwritings.com/oxyrhynchus840.html
Traditions of Matthias,110,160,Apocrypha,Gospel Fragments,https://www.earlychristianwritings.com/traditionsmatthias.html
Pliny the Younger,111,112,Other,Pagan and Jewish,https://www.earlychristianwritings.com/pliny.html
Suetonius,115,115,Other,Pagan and Jewish,https://www.earlychristianwritings.com/suetonius.html
Tacitus,115,115,Other,Pagan and Jewish,https://www.earlychristianwritings.com/tacitus.html
Quadratus of Athens,120,130,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/quadratus.html
Apology of Aristides,120,130,Church Fathers,Apologists,https://www.earlychristianwritings.com/aristides.html
Basilides,120,140,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/basilides.html
Naassene Fragment,120,140,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/naassene.html
Valentinus,120,160,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/valentinus.html
Apocryphon of John,120,180,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/apocryphonjohn.html
Gospel of Mary,120,180,Gnostics,Dialogues with Jesus,https://www.earlychristianwritings.com/gospelmary.html
Dialogue of the Savior,120,180,Gnostics,Dialogues with Jesus,https://www.earlychristianwritings.com/dialoguesavior.html
Gospel of the Savior,120,180,Gnostics,Dialogues with Jesus,https://www.earlychristianwritings.com/gospelsavior.html
2nd Apocalypses of James,120,180,Gnostics,Apocalypses,https://www.earlychristianwritings.com/apocalypsejames2.html
Trimorphic Protennoia,120,180,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/trimorphic.html
Gospel of Perfection,120,180,Apocrypha,Gospels,https://www.earlychristianwritings.com/perfection.html
Genna Marias,120,200,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/gennamarias.html
Marcion,130,140,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/marcion.html
Aristo of Pella,130,150,Church Fathers,Quoted Authors,https://www.earlychristianwritings.com/marcion.html
